"File Name","Size (MB)","Size (GB)","Last Modified","Owner","Full Path"
"76ebcb8859b0b2329615a3c767c536bac875beb015ceef4116204f4ee7b7febb","488.96","0.477","2026-08-07 03:23:37","BUILTIN\Administrators","C:\Program Files (x86)\Google\GoogleUpdater\crx_cache\76ebcb8859b0b2329615a3c767c536bac875beb015ceef4116204f4ee7b7febb"
"msedge.dll","325.95","0.318","2026-08-06 14:21:55","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.72\msedge.dll"
"msedge.dll","325.95","0.318","2026-08-06 14:21:55","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft\EdgeCore\151.0.4129.72\msedge.dll"
"msedge.dll","325.95","0.318","2026-08-06 14:21:55","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedge.dll"
"chrome.dll","284.87","0.278","2026-08-06 00:41:38","BUILTIN\Administrators","C:\Program Files\Google\Chrome\Application\151.0.7922.108\chrome.dll"
"CodeSetup-stable-df53daabb18cd157bdb08c7f01c34df936cf12f4.exe","226.78","0.221","2026-08-10 14:43:53","c261-20-1\labuser","C:\Users\labuser\AppData\Local\Temp\2\vscode-stable-system-x64\CodeSetup-stable-df53daabb18cd157bdb08c7f01c34df936cf12f4.exe"
"Code.exe","221.97","0.217","2026-07-28 11:31:40","BUILTIN\Administrators","C:\Program Files\Microsoft VS Code\Code.exe"
"MRT.exe","217.95","0.213","2026-08-03 03:00:07","NT AUTHORITY\SYSTEM","C:\Windows\System32\MRT.exe"
"googlechromestandaloneenterprise64.msi","157.14","0.153","2026-08-06 03:55:04","c261-20-1\labuser","C:\Users\labuser\Downloads\googlechromestandaloneenterprise64.msi"
"ServiceFabric.cab","139.05","0.136","2021-05-08 08:15:52","NT SERVICE\TrustedInstaller","C:\Windows\WinSxS\amd64_microsoft-windows-fabric-core_31bf3856ad364e35_10.0.20348.1_none_a561743902316d7c\ServiceFabric.cab"
"mpasbase.vdm","132.83","0.13","2026-08-05 03:34:34","NT AUTHORITY\SYSTEM","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{500D5126-9E1C-4968-82C3-19D3059ABDB2}\mpasbase.vdm"
